;name;set_name;cmc;power;toughness;oracle_text
23;Cephalid Inkmage;Foundations;3.0;2;2;"When this creature enters, surveil 3. (Look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Threshold — This creature can't be blocked as long as there are seven or more cards in your graveyard."
24;Clinquant Skymage;Foundations;4.0;1;1;"Flying
Whenever you draw a card, put a +1/+1 counter on this creature."
25;Curator of Destinies;Foundations;6.0;5;5;"This spell can't be countered.
Flying
When this creature enters, look at the top five cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard."
26;Drake Hatcher;Foundations;2.0;1;3;"Vigilance, prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever this creature deals combat damage to a player, put that many incubation counters on it.
Remove three incubation counters from this creature: Create a 2/2 blue Drake creature token with flying."
27;Elementalist Adept;Foundations;2.0;2;1;"Flash (You may cast this spell any time you could cast an instant.)
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)"
28;Erudite Wizard;Foundations;3.0;2;3;Whenever you draw your second card each turn, put a +1/+1 counter on this creature.
29;Grappling Kraken;Foundations;6.0;5;6;Landfall — Whenever a land you control enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
30;High Fae Trickster;Foundations;4.0;4;2;"Flash (You may cast this spell any time you could cast an instant.)
Flying
You may cast spells as though they had flash."
31;Homunculus Horde;Foundations;4.0;2;2;Whenever you draw your second card each turn, create a token that's a copy of this creature.
32;Icewind Elemental;Foundations;5.0;3;4;"Flying
When this creature enters, draw a card, then discard a card."
33;Kiora, the Rising Tide;Foundations;3.0;3;2;"When Kiora enters, draw two cards, then discard two cards.
Threshold — Whenever Kiora attacks, if there are seven or more cards in your graveyard, you may create Scion of the Deep, a legendary 8/8 blue Octopus creature token."
34;Mischievous Mystic;Foundations;2.0;2;1;"Flying
Whenever you draw your second card each turn, create a 1/1 blue Faerie creature token with flying."
35;Rune-Sealed Wall;Foundations;3.0;0;6;"Defender
{T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
36;Skyship Buccaneer;Foundations;5.0;4;3;"Flying
Raid — When this creature enters, if you attacked this turn, draw a card."
37;Sphinx of Forgotten Lore;Foundations;4.0;3;3;"Flash (You may cast this spell any time you could cast an instant.)
Flying
Whenever this creature attacks, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to that card's mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)"
38;Strix Lookout;Foundations;2.0;1;2;"Flying, vigilance (Attacking doesn't cause this creature to tap.)
{1}{U}, {T}: Draw a card, then discard a card."
39;Abyssal Harvester;Foundations;3.0;3;2;{T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all other Nightmare tokens you control.
40;Arbiter of Woe;Foundations;6.0;5;4;"As an additional cost to cast this spell, sacrifice a creature.
Flying
When this creature enters, each opponent discards a card and loses 2 life. You draw a card and gain 2 life."
41;Billowing Shriekmass;Foundations;4.0;2;3;"Flying
When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
Threshold — This creature gets +2/+1 as long as there are seven or more cards in your graveyard."
42;Bloodthirsty Conqueror;Foundations;5.0;5;5;"Flying, deathtouch
Whenever an opponent loses life, you gain that much life. (Damage causes loss of life.)"
43;Crypt Feaster;Foundations;4.0;3;4;"Menace (This creature can't be blocked except by two or more creatures.)
Threshold — Whenever this creature attacks, if there are seven or more cards in your graveyard, this creature gets +2/+0 until end of turn."
44;Gutless Plunderer;Foundations;3.0;2;2;"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Raid — When this creature enters, if you attacked this turn, look at the top three cards of your library. You may put one of those cards back on top of your library. Put the rest into your graveyard."
45;High-Society Hunter;Foundations;5.0;5;3;"Flying
Whenever this creature attacks, you may sacrifice another creature. If you do, put a +1/+1 counter on this creature.
Whenever another nontoken creature dies, draw a card."
46;Hungry Ghoul;Foundations;2.0;2;2;{1}, Sacrifice another creature: Put a +1/+1 counter on this creature.
47;Infernal Vessel;Foundations;3.0;2;1;When this creature dies, if it wasn't a Demon, return it to the battlefield under its owner's control with two +1/+1 counters on it. It's a Demon in addition to its other types.
48;Infestation Sage;Foundations;1.0;1;1;When this creature dies, create a 1/1 black and green Insect creature token with flying.
49;Nine-Lives Familiar;Foundations;3.0;1;1;"This creature enters with eight revival counters on it if you cast it.
When this creature dies, if it had a revival counter on it, return it to the battlefield with one fewer revival counter on it at the beginning of the next end step."
50;Sanguine Syphoner;Foundations;2.0;1;3;Whenever this creature attacks, each opponent loses 1 life and you gain 1 life.
51;Soul-Shackled Zombie;Foundations;4.0;4;2;When this creature enters, exile up to two target cards from a single graveyard. If at least one creature card was exiled this way, each opponent loses 2 life and you gain 2 life.
52;Tinybones, Bauble Burglar;Foundations;2.0;1;3;"Whenever an opponent discards a card, exile it from their graveyard with a stash counter on it.
During your turn, you may play cards you don't own with stash counters on them from exile, and mana of any type can be spent to cast those spells.
{3}{B}, {T}: Each opponent discards a card. Activate only as a sorcery."
53;Tragic Banshee;Foundations;5.0;5;3;Morbid — When this creature enters, target creature an opponent controls gets -1/-1 until end of turn. If a creature died this turn, that creature gets -13/-13 instead.
54;Vampire Gourmand;Foundations;2.0;2;2;Whenever this creature attacks, you may sacrifice another creature. If you do, draw a card and this creature can't be blocked this turn.
55;Vampire Soulcaller;Foundations;5.0;3;2;"Flying
This creature can't block.
When this creature enters, return target creature card from your graveyard to your hand."
56;Vengeful Bloodwitch;Foundations;2.0;1;1;Whenever this creature or another creature you control dies, target opponent loses 1 life and you gain 1 life.
57;Zul Ashur, Lich Lord;Foundations;2.0;2;2;"Ward—Pay 2 life. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2 life.)
{T}: You may cast target Zombie creature card from your graveyard this turn."
58;Battlesong Berserker;Foundations;4.0;3;4;Whenever you attack, target creature you control gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)
59;Courageous Goblin;Foundations;2.0;2;2;Whenever this creature attacks while you control a creature with power 4 or greater, this creature gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)
60;Crackling Cyclops;Foundations;3.0;0;4;Whenever you cast a noncreature spell, this creature gets +3/+0 until end of turn.
61;Dragon Trainer;Foundations;5.0;1;1;When this creature enters, create a 4/4 red Dragon creature token with flying.
62;Goblin Boarders;Foundations;3.0;3;2;Raid — This creature enters with a +1/+1 counter on it if you attacked this turn.
63;Gorehorn Raider;Foundations;5.0;4;4;Raid — When this creature enters, if you attacked this turn, this creature deals 2 damage to any target.
64;Kellan, Planar Trailblazer;Foundations;1.0;2;1;"{1}{R}: If Kellan is a Scout, it becomes a Human Faerie Detective and gains ""Whenever Kellan deals combat damage to a player, exile the top card of your library. You may play that card this turn.""
{2}{R}: If Kellan is a Detective, it becomes a 3/2 Human Faerie Rogue and gains double strike."
65;Searslicer Goblin;Foundations;2.0;2;1;Raid — At the beginning of your end step, if you attacked this turn, create a 1/1 red Goblin creature token.
66;Slumbering Cerberus;Foundations;2.0;4;2;"This creature doesn't untap during your untap step.
Morbid — At the beginning of each end step, if a creature died this turn, untap this creature."
67;Sower of Chaos;Foundations;4.0;4;3;{2}{R}: Target creature can't block this turn.
68;Strongbox Raider;Foundations;4.0;5;2;Raid — When this creature enters, if you attacked this turn, exile the top two cards of your library. Choose one of them. Until the end of your next turn, you may play that card.
69;Twinflame Tyrant;Foundations;5.0;3;5;"Flying
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals double that damage instead."
70;Ambush Wolf;Foundations;3.0;4;2;"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, exile up to one target card from a graveyard."
71;Apothecary Stomper;Foundations;6.0;4;4;"Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, choose one —
• Put two +1/+1 counters on target creature you control.
• You gain 4 life."
72;Beast-Kin Ranger;Foundations;3.0;3;3;"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever another creature you control enters, this creature gets +1/+0 until end of turn."
73;Cackling Prowler;Foundations;4.0;4;3;"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Morbid — At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature."
74;Eager Trufflesnout;Foundations;3.0;4;2;"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever this creature deals combat damage to a player, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")"
75;Elfsworn Giant;Foundations;5.0;5;3;"Reach (This creature can block creatures with flying.)
Landfall — Whenever a land you control enters, create a 1/1 green Elf Warrior creature token."
76;Elvish Regrower;Foundations;4.0;4;3;When this creature enters, return target permanent card from your graveyard to your hand.
77;Loot, Exuberant Explorer;Foundations;3.0;1;4;"You may play an additional land on each of your turns.
{4}{G}{G}, {T}: Look at the top six cards of your library. You may reveal a creature card with mana value less than or equal to the number of lands you control from among them and put it onto the battlefield. Put the rest on the bottom in a random order."
78;Mossborn Hydra;Foundations;3.0;0;0;"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
This creature enters with a +1/+1 counter on it.
Landfall — Whenever a land you control enters, double the number of +1/+1 counters on this creature."
79;Needletooth Pack;Foundations;5.0;4;5;Morbid — At the beginning of your end step, if a creature died this turn, put two +1/+1 counters on target creature you control.
80;Quakestrider Ceratops;Foundations;6.0;12;8;
81;Quilled Greatwurm;Foundations;6.0;7;7;"Trample
Whenever a creature you control deals combat damage during your turn, put that many +1/+1 counters on it. (It must survive to get the counters.)
You may cast this card from your graveyard by removing six counters from among creatures you control in addition to paying its other costs."
82;Spinner of Souls;Foundations;3.0;4;3;"Reach
Whenever another nontoken creature you control dies, you may reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order."
83;Treetop Snarespinner;Foundations;4.0;1;4;"Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
{2}{G}: Put a +1/+1 counter on target creature you control. Activate only as a sorcery."
84;Alesha, Who Laughs at Fate;Foundations;3.0;2;2;"First strike
Whenever Alesha attacks, put a +1/+1 counter on it.
Raid — At the beginning of your end step, if you attacked this turn, return target creature card with mana value less than or equal to Alesha's power from your graveyard to the battlefield."
85;Ashroot Animist;Foundations;4.0;4;4;"Trample
When this creature attacks, another target creature you control gains trample and gets +X/+X until end of turn, where X is this creature's power."
86;Dreadwing Scavenger;Foundations;3.0;2;2;"Flying
Whenever this creature enters or attacks, draw a card, then discard a card.
Threshold — This creature gets +1/+1 and has deathtouch as long as there are seven or more cards in your graveyard."
87;Elenda, Saint of Dusk;Foundations;4.0;4;4;"Lifelink, hexproof from instants
As long as your life total is greater than your starting life total, Elenda gets +1/+1 and has menace. Elenda gets an additional +5/+5 as long as your life total is at least 10 greater than your starting life total."
88;Fiendish Panda;Foundations;4.0;3;2;"Whenever you gain life, put a +1/+1 counter on this creature.
When this creature dies, return another target non-Bear creature card with mana value less than or equal to this creature's power from your graveyard to the battlefield."
89;Koma, World-Eater;Foundations;7.0;8;12;"This spell can't be countered.
Trample, ward {4}
Whenever Koma deals combat damage to a player, create four 3/3 blue Serpent creature tokens named Koma's Coil."
90;Kykar, Zephyr Awakener;Foundations;4.0;3;4;"Flying
Whenever you cast a noncreature spell, choose one —
• Exile another target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step.
• Create a 1/1 white Spirit creature token with flying."
91;Niv-Mizzet, Visionary;Foundations;6.0;5;5;"Flying
You have no maximum hand size.
Whenever a source you control deals noncombat damage to an opponent, you draw that many cards."
92;Perforating Artist;Foundations;3.0;3;2;"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Raid — At the beginning of your end step, if you attacked this turn, each opponent loses 3 life unless that player sacrifices a nonland permanent of their choice or discards a card."
93;Wardens of the Cycle;Foundations;4.0;3;4;"Morbid — At the beginning of your end step, if a creature died this turn, choose one —
• You gain 2 life.
• You draw a card and you lose 1 life."
94;Zimone, Paradox Sculptor;Foundations;4.0;1;4;"At the beginning of combat on your turn, put a +1/+1 counter on each of up to two target creatures you control.
{G}{U}, {T}: Double the number of each kind of counter on up to two target creatures and/or artifacts you control."
95;Scrawling Crawler;Foundations;3.0;3;2;"At the beginning of your upkeep, each player draws a card.
Whenever an opponent draws a card, that player loses 1 life."
96;Ajani's Pridemate;Foundations;2.0;2;2;Whenever you gain life, put a +1/+1 counter on this creature.
97;Angel of Finality;Foundations;4.0;3;4;"Flying
When this creature enters, exile target player's graveyard."
98;Cathar Commando;Foundations;2.0;3;1;"Flash (You may cast this spell any time you could cast an instant.)
{1}, Sacrifice this creature: Destroy target artifact or enchantment."
99;Giada, Font of Hope;Foundations;2.0;2;2;"Flying, vigilance
Each other Angel you control enters with an additional +1/+1 counter on it for each Angel you already control.
{T}: Add {W}. Spend this mana only to cast an Angel spell."
100;Healer's Hawk;Foundations;1.0;1;1;"Flying
Lifelink (Damage dealt by this creature also causes you to gain that much life.)"
101;Mischievous Pup;Foundations;3.0;3;1;"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, return up to one other target permanent you control to its owner's hand."
102;Resolute Reinforcements;Foundations;2.0;1;1;"Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, create a 1/1 white Soldier creature token."
103;Savannah Lions;Foundations;1.0;2;1;
104;Serra Angel;Foundations;5.0;4;4;"Flying
Vigilance (Attacking doesn't cause this creature to tap.)"
105;Youthful Valkyrie;Foundations;2.0;1;3;"Flying
Whenever another Angel you control enters, put a +1/+1 counter on this creature."
106;Aegis Turtle;Foundations;1.0;0;5;
107;Brineborn Cutthroat;Foundations;2.0;2;1;"Flash (You may cast this spell any time you could cast an instant.)
Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on this creature."
108;Lightshell Duo;Foundations;4.0;3;4;"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
109;Micromancer;Foundations;4.0;3;3;When this creature enters, you may search your library for an instant or sorcery card with mana value 1, reveal it, put it into your hand, then shuffle.
110;Mocking Sprite;Foundations;3.0;2;1;"Flying
Instant and sorcery spells you cast cost {1} less to cast."
111;Spectral Sailor;Foundations;1.0;1;1;"Flash (You may cast this spell any time you could cast an instant.)
Flying
{3}{U}: Draw a card."
112;Tolarian Terror;Foundations;7.0;5;5;"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)"
113;Burglar Rat;Foundations;2.0;1;1;When this creature enters, each opponent discards a card.
114;Diregraf Ghoul;Foundations;1.0;2;2;This creature enters tapped.
115;Marauding Blight-Priest;Foundations;3.0;3;2;Whenever you gain life, each opponent loses 1 life.
116;Reassembling Skeleton;Foundations;2.0;1;1;{1}{B}: Return this card from your graveyard to the battlefield tapped.
117;Rune-Scarred Demon;Foundations;7.0;6;6;"Flying
When this creature enters, search your library for a card, put it into your hand, then shuffle."
118;Stromkirk Bloodthief;Foundations;3.0;2;2;At the beginning of your end step, if an opponent lost life this turn, put a +1/+1 counter on target Vampire you control.
119;Vampire Nighthawk;Foundations;3.0;2;3;"Flying
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)"
120;Axgard Cavalry;Foundations;2.0;2;2;{T}: Target creature gains haste until end of turn. (It can attack and {T} this turn.)
121;Brazen Scourge;Foundations;3.0;3;3;Haste (This creature can attack and {T} as soon as it comes under your control.)
122;Drakuseth, Maw of Flames;Foundations;7.0;7;7;"Flying
Whenever Drakuseth attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets."
123;Etali, Primal Storm;Foundations;6.0;6;6;Whenever Etali attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs.
124;Fanatical Firebrand;Foundations;1.0;1;1;"Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}, Sacrifice this creature: It deals 1 damage to any target."
125;Firebrand Archer;Foundations;2.0;2;1;Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.
126;Firespitter Whelp;Foundations;3.0;2;2;"Flying
Whenever you cast a noncreature or Dragon spell, Firespitter Whelp deals 1 damage to each opponent."
127;Flamewake Phoenix;Foundations;3.0;2;2;"Flying, haste
This creature attacks each combat if able.
At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may pay {R}. If you do, return this card from your graveyard to the battlefield."
128;Frenzied Goblin;Foundations;1.0;1;1;Whenever this creature attacks, you may pay {R}. If you do, target creature can't block this turn.
129;Heartfire Immolator;Foundations;2.0;2;2;"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
{R}, Sacrifice this creature: It deals damage equal to its power to target creature or planeswalker."
130;Krenko, Mob Boss;Foundations;4.0;3;3;{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control.
131;Shivan Dragon;Foundations;6.0;5;5;"Flying
{R}: This creature gets +1/+0 until end of turn."
132;Spitfire Lagac;Foundations;4.0;3;4;Landfall — Whenever a land you control enters, this creature deals 1 damage to each opponent.
133;Affectionate Indrik;Foundations;6.0;4;4;When this creature enters, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)
134;Dwynen, Gilt-Leaf Daen;Foundations;4.0;3;4;"Reach (This creature can block creatures with flying.)
Other Elf creatures you control get +1/+1.
Whenever Dwynen attacks, you gain 1 life for each attacking Elf you control."
135;Dwynen's Elite;Foundations;2.0;2;2;When this creature enters, if you control another Elf, create a 1/1 green Elf Warrior creature token.
136;Elvish Archdruid;Foundations;3.0;2;2;"Other Elf creatures you control get +1/+1.
{T}: Add {G} for each Elf you control."
137;Ghalta, Primal Hunger;Foundations;12.0;12;12;"This spell costs {X} less to cast, where X is the total power of creatures you control.
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)"
138;Gnarlid Colony;Foundations;2.0;2;2;"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
If this creature was kicked, it enters with two +1/+1 counters on it.
Each creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)"
139;Llanowar Elves;Foundations;1.0;1;1;{T}: Add {G}.
140;Mild-Mannered Librarian;Foundations;1.0;1;1;{3}{G}: This creature becomes a Werewolf. Put two +1/+1 counters on it and you draw a card. Activate only once.
141;Nessian Hornbeetle;Foundations;2.0;2;2;At the beginning of combat on your turn, if you control another creature with power 4 or greater, put a +1/+1 counter on this creature.
142;Reclamation Sage;Foundations;3.0;2;1;When this creature enters, you may destroy target artifact or enchantment.
143;Scavenging Ooze;Foundations;2.0;2;2;{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on this creature and you gain 1 life.
144;Wary Thespian;Foundations;2.0;3;1;When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
145;Wildwood Scourge;Foundations;1.0;0;0;"This creature enters with X +1/+1 counters on it.
Whenever one or more +1/+1 counters are put on another non-Hydra creature you control, put a +1/+1 counter on this creature."
146;Balmor, Battlemage Captain;Foundations;2.0;1;3;"Flying
Whenever you cast an instant or sorcery spell, creatures you control get +1/+0 and gain trample until end of turn."
147;Consuming Aberration;Foundations;5.0;*;*;"Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.
Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard."
148;Empyrean Eagle;Foundations;3.0;2;3;"Flying
Other creatures you control with flying get +1/+1."
149;Good-Fortune Unicorn;Foundations;3.0;2;2;Whenever another creature you control enters, put a +1/+1 counter on that creature.
150;Lathril, Blade of the Elves;Foundations;4.0;2;3;"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life."
151;Muldrotha, the Gravetide;Foundations;6.0;6;6;During each of your turns, you may play a land and cast a permanent spell of each permanent type from your graveyard. (If a card has multiple permanent types, choose one as you play it.)
152;Progenitus;Foundations;10.0;10;10;"Protection from everything
If Progenitus would be put into a graveyard from anywhere, reveal Progenitus and shuffle it into its owner's library instead."
153;Ruby, Daring Tracker;Foundations;2.0;1;2;"Haste (This creature can attack and {T} as soon as it comes under your control.)
Whenever Ruby attacks while you control a creature with power 4 or greater, Ruby gets +2/+2 until end of turn.
{T}: Add {R} or {G}."
154;Swiftblade Vindicator;Foundations;2.0;1;1;"Double strike (This creature deals both first-strike and regular combat damage.)
Vigilance (Attacking doesn't cause this creature to tap.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)"
155;Tatyova, Benthic Druid;Foundations;5.0;3;3;Landfall — Whenever a land you control enters, you gain 1 life and draw a card.
156;Burnished Hart;Foundations;3.0;2;2;{3}, Sacrifice this creature: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
157;Campus Guide;Foundations;2.0;2;1;When this creature enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.
158;Gleaming Barrier;Foundations;2.0;0;4;"Defender
When this creature dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
159;Juggernaut;Foundations;4.0;5;3;"This creature attacks each combat if able.
This creature can't be blocked by Walls."
160;Meteor Golem;Foundations;7.0;3;3;When this creature enters, destroy target nonland permanent an opponent controls.
161;Solemn Simulacrum;Foundations;4.0;2;2;"When this creature enters, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
When this creature dies, you may draw a card."
162;Sire of Seven Deaths;Foundations;7.0;7;7;"First strike, vigilance
Menace, trample
Reach, lifelink
Ward—Pay 7 life."
163;Ajani's Pridemate;Foundations;2.0;2;2;Whenever you gain life, put a +1/+1 counter on this creature.
164;Arahbo, the First Fang;Foundations;3.0;2;2;"Other Cats you control get +1/+1.
Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token."
165;Crystal Barricade;Foundations;2.0;0;4;"Defender (This creature can't attack.)
You have hexproof. (You can't be the target of spells or abilities your opponents control.)
Prevent all noncombat damage that would be dealt to other creatures you control."
166;Exemplar of Light;Foundations;4.0;3;3;"Flying
Whenever you gain life, put a +1/+1 counter on this creature.
Whenever you put one or more +1/+1 counters on this creature, draw a card. This ability triggers only once each turn."
167;Giada, Font of Hope;Foundations;2.0;2;2;"Flying, vigilance
Each other Angel you control enters with an additional +1/+1 counter on it for each Angel you already control.
{T}: Add {W}. Spend this mana only to cast an Angel spell."
168;Herald of Eternal Dawn;Foundations;7.0;6;6;"Flash (You may cast this spell any time you could cast an instant.)
Flying
You can't lose the game and your opponents can't win the game."
169;Skyknight Squire;Foundations;2.0;1;1;"Whenever another creature you control enters, put a +1/+1 counter on this creature.
As long as this creature has three or more +1/+1 counters on it, it has flying and is a Knight in addition to its other types."
170;Youthful Valkyrie;Foundations;2.0;1;3;"Flying
Whenever another Angel you control enters, put a +1/+1 counter on this creature."
171;Archmage of Runes;Foundations;5.0;3;6;"Instant and sorcery spells you cast cost {1} less to cast.
Whenever you cast an instant or sorcery spell, draw a card."
172;Curator of Destinies;Foundations;6.0;5;5;"This spell can't be countered.
Flying
When this creature enters, look at the top five cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard."
173;Drake Hatcher;Foundations;2.0;1;3;"Vigilance, prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever this creature deals combat damage to a player, put that many incubation counters on it.
Remove three incubation counters from this creature: Create a 2/2 blue Drake creature token with flying."
174;High Fae Trickster;Foundations;4.0;4;2;"Flash (You may cast this spell any time you could cast an instant.)
Flying
You may cast spells as though they had flash."
